SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,"SOMZWCG12A8C13C480",300848,"Fear Itself","ARD7TVE1187B99BFB1",,"California - LA",,"Casual",0.0,218.93179,1,0.736,92.198,4,0.778,"I Didn't Mean To",0
2,"SOCIWDW12A8C13D406",300822,"Dimensions","ARMJAGH1187FB546F3",35.14968,"Memphis TN",-90.04892,"The Box Tops",0.0,148.03546,6,0.169,121.274,4,0.384,"Soul Deep",1969
3,"SOXVLOJ12AB0189215",514953,"Las Numero 1 De La Sonora Santanera","ARKRRTF1187B9984DA",,"",,"Sonora Santanera",0.0,177.47546,8,0.643,100.07,1,0.0,"Amor De Cabaret",0
4,"SONHOTT12A8C13493C",287650,"Friend Or Foe","AR7G5I41187FB4CE6C",,"London England",,"Adam Ant",0.0,233.40363,0,0.751,119.293,4,0.0,"Something Girls",1982
5,"SOFSOCN12A8C143F5D",611336,"Muertos Vivos","ARXR32B1187FB57099",,"",,"Gob",0.0,209.60608,2,0.092,129.738,4,0.562,"Face the Ashes",2007
6,"SOYMRWW12A6D4FAB14",41838,"Ordinary Day","ARKFYS91187B98E58F",,"",,"Jeff And Sheri Easter",0.0,267.7024,5,0.635,147.782,3,0.454,"The Moon And I (Ordinary Day Album Version)",0
7,"SOMJBYD12A6D4F8557",25824,"Da Ghetto Psychic","ARD0S291187B9B7BF5",,"Ohio",,"Rated R",0.0,114.78159,1,0.0,111.787,1,0.0,"Keepin It Real (Skit)",0
8,"SOHKNRJ12A6701D1F8",8876,"Gin & Phonic","AR10USD1187B99F3F1",,"Burlington Ontario Canada",,"Tweeterfriendly Music",0.0,189.57016,4,0.0,101.43,3,0.408,"Drop of Rain",0
9,"SOIAZJW12AB01853F1",358182,"Pink World","AR8ZCNI1187B9A069B",,"",,"Planet P Project",0.0,269.81832,4,0.717,86.643,4,0.487,"Pink World",1984
10,"SOUDSGM12AC9618304",692313,"Superinstrumental","ARNTLGG11E2835DDB9",,"",,"Clp",0.0,266.39628,7,0.053,114.041,4,0.878,"Insatiable (Instrumental Version)",0
11,"SOQHXMF12AB0182363",539081,"I Need You","ARGSJW91187B9B1D6B",35.21962,"North Carolina",-80.01955,"JennyAnyKind",0.0,218.77506,5,0.354,146.765,1,0.0,"Young Boy Blues",0
12,"SOKEJEJ12A8C13E0D0",163874,"The Way Home","ARC43071187B990240",,"Wisner LA",,"Wayne Watson",0.0,245.21098,7,0.07,117.975,4,0.835,"The Urgency (LP Version)",0
13,"SOMUYGI12AB0188633",575792,"Placer & Castigo","ARL7K851187B99ACD2",,"",,"Andy Andy",0.0,226.35057,9,0.205,130.04,4,0.0,"La Culpa",0
14,"SORAMLE12AB017C8B0",815863,"Arrivederci","ARHHO3O1187B989413",,"",,"Bob Azzam",0.0,191.84281,10,0.0,137.334,1,0.319,"Auguri Cha Cha",0
15,"SOBONFF12A6D4F84D8",25811,"Dancing On The Ceiling","ARIK43K1187B9AE54C",,"Beverly Hills CA",,"Lionel Richie",0.0,307.3824,3,0.524,125.197,3,0.211,"Tonight Will Be Alright",1986
16,"SOHUOAP12A8AE488E9",135122,"Outskirts","ARD842G1187B997376",43.64856,"Toronto Ontario Canada",-79.38533,"Blue Rodeo",0.0,491.12771,7,1.0,119.826,4,0.756,"Floating",1987
17,"SOUQQEA12A8C134B1B",149958,"Cross Currents","ARIG6O41187B988BDD",37.16793,"United States",-95.84502,"Richard Souther",0.0,228.5971,8,0.041,127.756,5,0.579,"High Tide",0
18,"SOILPQQ12AB017E82A",535188,"Panjtan Ka Ghulam","AR1ZHYZ1187FB3C717",,"",,"Faiz Ali Faiz",0.0,599.24853,6,0.06,99.273,4,0.158,"Sohna Nee Sohna Data",0
19,"SOXLBJT12A8C140925",372309,"Gold","ARYKCQI1187FB3B18F",,"",,"Tesla",0.0,290.29832,7,0.725,150.062,4,0.931,"Caught In A Dream",2004
20,"SOZVMJI12AB01808AF",541101,"Whatever Happened To Boredom?","ARNPAGP1241B9C7FD4",,"",,"lextrical",0.0,165.69424,7,0.011,138.331,4,0.127,"Synthetic Dream",0
21,"SOWTBJW12AC468AC6E",605134,"1942-1952 Jimmy Wakely","ARQGYP71187FB44566",34.31109,"Mineola AR",-94.02978,"Jimmy Wakely",0.0,151.84934,1,0.799,86.186,3,0.929,"Broken-Down Merry-Go-Round",0
22,"SOBEBDG12A58A76D60",239740,"All The Good Times","ARI3BMM1187FB4255E",38.8991,"Washington",-77.029,"Alice Stuart",0.0,220.78649,11,0.809,110.382,1,0.192,"Kassie Jones",0
23,"SOZCTXZ12AB0182364",386995,"Un cafe_ setanta matins","AR5KOSW1187FB35FF4",49.80388,"Dubai UAE",15.47491,"Elena",0.0,269.58322,2,0.596,111.874,4,1.0,"Setanta matins",0
24,"SOBBUGU12A8C13E95D",223365,"Miss Machine","ARMAC4T1187FB3FA4C",40.82624,"Morris Plains NJ",-74.47995,"The Dillinger Escape Plan",0.0,207.77751,7,0.381,166.862,4,0.0,"Setting Fire to Sleeping Giants",2004
25,"SOBLGCN12AB0183212",652784,"Sue Thompson - Her Very Best","AR47JEX1187B995D81",37.83721,"Nevada MO",-94.35868,"SUE THOMPSON",0.0,124.86485,10,0.697,137.522,4,0.0,"James (Hold The Ladder Steady)",1985
26,"SOPSWQW12A6D4F8781",45730,"Live","ARGIWFO1187B9B55B7",,"",,"Five Bolt Main",0.0,225.09669,7,0.53,164.672,1,0.0,"Made Like This (Live)",0
27,"SOZQDIU12A58A7BCF6",672016,"Strictly Confidential","ARNTLGG11E2835DDB9",,"",,"Clp",0.0,338.31138,6,0.687,125.006,4,1.0,"Superconfidential",0
28,"SONYPOM12A8C13B2D7",160881,"The Real Twang Thang","ARDNS031187B9924F0",32.67828,"Georgia",-83.22295,"Tim Wilson",0.0,186.48771,5,0.762,90.022,1,0.971,"I Think My Wife Is Running Around On Me (Taco Hell)",2005
29,"SOBZBAZ12A6D4F8742",59744,"Willie Bobo's Finest Hour","AROUOZZ1187B9ABE51",40.79195,"New York NY [Spanish Harlem]",-73.94512,"Willie Bobo",0.0,168.25424,8,0.812,127.025,4,0.792,"Spanish Grease",1997
30,"SOVYKGO12AB0187199",373723,"Shake A Hand","ARH4Z031187B9A71F2",40.73197,"Newark NJ",-74.17418,"Faye Adams",0.0,156.39465,8,0.569,95.957,3,0.689,"Crazy Mixed Up World",1961
31,"SOGNCJP12A58A80271",228326,"Occasional Rain","ARB29H41187B98F0EF",41.88415,"Chicago",-87.63241,"Terry Callier",0.0,342.56934,6,0.381,110.189,3,0.353,"Do You Finally Need A Friend",1972
32,"SOLLHMX12AB01846DC",463514,"The Emperor Falls","AR1Y2PT1187FB5B9CE",27.94017,"Brandon",-82.32547,"John Wesley",0.0,484.62322,4,0.283,138.007,4,0.893,"The Emperor Falls",0
